"作物","栽培形態","月","作業","施肥_種類","N(g)","P(g)","K(g)","施肥基準","施肥_メモ","薬剤"
"レモン","鉢植え","1","休眠管理／寒風対策。防寒（鉢は北風回避）。石灰硫黄合剤など冬季防除（落葉樹）。支柱点検。 / 常緑の寒害対策（5℃目安で屋外保護／移動）。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","2","剪定（落葉果樹の主剪定）・鉢増し適期（2月中〜3月上旬）。元肥（有機緩効性を控えめ）。 / 春梢前の軽剪定（強剪定は避ける）。鉢は根詰まりなら2〜3年に一度鉢増し。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","3","芽動き前後の防除（病害虫予防）。新芽の遅霜対策。発芽後は潅水頻度を徐々に増やす。 / マシン油乳剤など越冬害虫対策。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","4","新梢管理・誘引・芽かき。置き肥を少量。病害虫（アブラムシ、うどんこ）初期防除。 / 春芽伸長。新梢は混み合い間引き。置き肥少量（緩効性）。","緩効性(8-8-8相当)置き肥 少量","3.0","2.0","3.0","鉢(10号)",""
"レモン","鉢植え","5","開花・結実管理。摘蕾・摘果の開始。灌水と乾湿メリハリ。病害虫モニタリング強化。 / 開花・結実。着果過多は6月までに摘果。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","6","梅雨期の過湿対策（高鉢・雨除け）。果実肥大期の摘果仕上げ。カイガラムシ・灰色かび対策。 / 梅雨期の黒点・そうか・ハダニ対策。排水を確保。 / 鉢土の目詰まり回避（割り箸通気/表土入替）。","緩効性(8-8-8相当)置き肥 少量","3.0","2.0","3.0","鉢(10号)",""
"レモン","鉢植え","7","高温乾燥対策（朝夕の水やり）。マルチや遮光。夏剪定は最小限。追肥は控えめ。 / 果実肥大。夏肥は控えめ（チッソ過多は徒長）。 / 二重鉢・鉢カバーで根の高温障害を回避。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","8","裂果・日焼け防止。灌水は早朝中心。病害虫は捕殺・薬剤ローテーション。 / 朝夕灌水＋腰水は避ける。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","9","収穫・追熟管理。秋肥の準備（落葉後に）。新梢充実を優先し窒素は控える。 / 秋梢管理。追肥は少量。","緩効性(8-8-8相当)置き肥 少量","3.0","2.0","3.0","鉢(10号)",""
"レモン","鉢植え","10","収穫後のお礼肥（控えめ）。葉色観察とマグネシウム欠乏対策。","緩効性(8-8-8相当)置き肥 少量","3.0","2.0","3.0","鉢(10号)",""
"レモン","鉢植え","11","落葉期の衛生管理（落ち葉処分）。移植・植え付けは落葉後〜厳冬前に可。 / 寒波前に防寒資材準備。","","0.0","0.0","0.0","鉢(10号)",""
"レモン","鉢植え","12","休眠入り。防寒・防霜（鉢は壁際へ）。資材整備と来季計画。 / 鉢は雨当たり・北風直撃を避けた場所へ移動。","","0.0","0.0","0.0","鉢(10号)",""
"あかつき（桃）","鉢植え","1","休眠期の衛生管理。越冬病害虫の防除（一部は冬季限定薬剤）。","","0","0","0","鉢(10号)","","冬季：石灰硫黄合剤等"
"あかつき（桃）","鉢植え","2","主枝更新・結果母枝の確保を意識した剪定。鉢増し可。元肥を控えめに。","緩効性・有機配合・置き肥（8-8-8相当）・少量","2","2","2","鉢(10号)","",""
"あかつき（桃）","鉢植え","3","萌芽・開花前の防霜。縮葉病の初期防除。","","0","0","0","鉢(10号)","","縮葉病：保護殺菌剤（銅）等"
"あかつき（桃）","鉢植え","4","開花・受粉管理。早めの摘果開始。","緩効性・有機配合・置き肥・少量","2","2","2","鉢(10号)","",""
"あかつき（桃）","鉢植え","5","果実間引き・袋掛け（必要に応じて）。水分管理。","","0","0","0","鉢(10号)","",""
"あかつき（桃）","鉢植え","6","徒長枝の軽剪定。果実肥大を見て追肥少量。","緩効性・有機配合・置き肥・少量","2","1","2","鉢(10号)","",""
"あかつき（桃）","鉢植え","7","高温期の灌水・日焼け対策。病害虫のモニタリング。","","0","0","0","鉢(10号)","","ハダニ・アブラムシ等：適用薬剤"
"あかつき（桃）","鉢植え","8","収穫・お礼管理。剪定は最小限。","","0","0","0","鉢(10号)","",""
"あかつき（桃）","鉢植え","9","秋肥はK主体で控えめに。","速効性・追肥（カリ主体）","0","0","2","鉢(10号)","",""
"あかつき（桃）","鉢植え","10","落葉前の衛生管理。","","0","0","0","鉢(10号)","",""
"あかつき（桃）","鉢植え","11","落葉・病葉除去。資材整備。","","0","0","0","鉢(10号)","",""
"あかつき（桃）","鉢植え","12","防寒・防霜。来季の骨格剪定の計画。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","1","冬剪定（結果枝更新）。資材整備。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","2","植え替え・鉢増し。元肥を少量。","緩効性・置き肥（8-8-8相当）・少量","3","2","3","鉢(10号)","",""
"イチジク","鉢植え","3","萌芽・新梢伸長の観察。病害虫予防。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","4","摘心・誘引で枝数を確保。軽い追肥。","緩効性・置き肥・少量","2","1","2","鉢(10号)","",""
"イチジク","鉢植え","5","結実の確認・摘果。鳥害対策。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","6","夏果の収穫期（系統により）。水分管理を丁寧に。","","0","0","0","鉢(10号)","","カミキリ等：適用殺虫剤"
"イチジク","鉢植え","7","連続結実期。害虫モニタリングと衛生管理。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","8","高温乾燥期。日焼け・裂果対策。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","9","秋果のピーク。回復にK主体の追肥を少量。","速効性・追肥（硫酸カリ等）","0","0","3","鉢(10号)","",""
"イチジク","鉢植え","10","収穫後の樹勢維持。不要枝の整理。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","11","落葉と衛生管理。","","0","0","0","鉢(10号)","",""
"イチジク","鉢植え","12","休眠管理・防寒。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","1","冬季せん定（混み合い枝の除去）。越冬病害虫の防除。","","0","0","0","鉢(10号)","","冬季：石灰硫黄合剤等"
"サクランボ","鉢植え","2","鉢増し・植え替え。元肥は控えめに。","緩効性・置き肥（8-8-8相当）・少量","2","2","2","鉢(10号)","",""
"サクランボ","鉢植え","3","つぼみ〜開花前の防霜・雨避け準備。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","4","開花・結実管理。人工授粉の補助（必要時）。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","5","収穫・鳥害対策。収穫後にお礼肥を少量。","緩効性・置き肥・少量","2","1","2","鉢(10号)","",""
"サクランボ","鉢植え","6","収穫後の整枝・病害虫管理。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","7","夏剪定は最小限。水分管理。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","8","高温期の樹勢維持。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","9","秋肥はK主体で控えめに。","速効性・追肥（カリ主体）","0","0","2","鉢(10号)","",""
"サクランボ","鉢植え","10","落葉前の衛生管理。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","11","落葉・病葉除去。防寒準備。","","0","0","0","鉢(10号)","",""
"サクランボ","鉢植え","12","休眠・防寒管理。","","0","0","0","鉢(10号)","",""
"シャインマスカット","鉢植え","1","冬季せん定（短梢・中短梢）。資材点検。","","0","0","0","鉢(10号)","","冬季：石灰硫黄合剤等"
"シャインマスカット","鉢植え","2","植え替え・鉢増し可。誘引・芽傷作業の準備。","","0","0","0","鉢(10号)","",""
"シャインマスカット","鉢植え","3","萌芽前後の防除。元肥を少量。","緩効性・置き肥（8-8-8相当）・少量","3","2","3","鉢(10号)","","マシン油乳剤（越冬害虫）"
"シャインマスカット","鉢植え","4","新梢管理・芽かき・誘引・整房。","","0","0","0","鉢(10号)","",""
"オレンジ","鉢植え","1","休眠期の防寒・防風管理。鉢を風当たりの弱い場所へ。不織布や敷きワラで保温。","","0","0","0","鉢(10号)","",""
"オレンジ","鉢植え","2","春芽前の軽剪定（徒長枝・交差枝の間引き）。用土表面の入替（1〜2cm）。","","0","0","0","鉢(10号)","",""
"オレンジ","鉢植え","3","新芽の遅霜対策。越冬害虫の予防散布と観察。","","0","0","0","鉢(10号)","","マシン油乳剤（越冬害虫）"
"オレンジ","鉢植え","4","春梢管理（芽かき・誘引）と置き肥。アブラムシの初期防除。","緩効性・有機配合・置き肥（8-8-8相当）・少量","3","2","3","鉢(10号)","表土に軽く埋める。","アブラムシ：浸透移行性殺虫剤／石鹸系"
"オレンジ","鉢植え","5","開花・結実管理（摘蕾・摘果）。乾湿のメリハリ。","","0","0","0","鉢(10号)","","うどんこ等：硫黄系"
"オレンジ","鉢植え","6","梅雨期の過湿対策。果実肥大後に置き肥を追施。","緩効性・有機配合・置き肥（8-8-8相当）・少量","3","2","3","鉢(10号)","鉢土の目詰まりに注意。","黒点・そうか等：保護殺菌剤"
"オレンジ","鉢植え","7","高温期の乾燥対策。日焼け・裂果防止。夏剪定は最小限。","","0","0","0","鉢(10号)","","ハダニ：ダニ剤"
"オレンジ","鉢植え","8","酷暑管理。早朝灌水。病害虫は必要時のみ散布。","","0","0","0","鉢(10号)","","スリップス：選択性殺虫剤"
"オレンジ","鉢植え","9","秋梢の充実を優先。少量の置き肥で樹勢維持。","緩効性・有機配合・置き肥（8-8-8相当）・少量","3","2","3","鉢(10号)","窒素は控えめに。","炭疽・斑点：保護殺菌剤"
"オレンジ","鉢植え","10","着色期〜収穫。収穫後のお礼肥を控えめに。","緩効性・有機配合・置き肥（8-8-8相当）・少量","3","2","3","鉢(10号)","",""
"オレンジ","鉢植え","11","落葉や病葉の衛生処理。寒波前に防寒資材を準備。","","0","0","0","鉢(10号)","",""
"オレンジ","鉢植え","12","休眠入り。鉢を壁際へ移動し防寒・防霜。来季計画。","","0","0","0","鉢(10号)","",""
